"","OP_CODE","Year","TimeFirstFed","Family","Genus","Species","Scientific","TimeFirstSeen","HasFed","DelayToFeed","Depth","Coral","Habitat","Complexity","Treatment","Gensp","Length","Size_class","Shark_present","MaxN"
"11","FP_201_ASH002",2016,NA,"Carangidae","Caranx","melampygus","Carangidae Caranx melampygus",6.0928,0,NA,20,0,"Other","Low","arrival ","Caranx melampygus",117,"Large",TRUE,19
"12","FP_201_ASH002",2016,NA,"Carangidae","Caranx","melampygus","Carangidae Caranx melampygus",6.0928,0,NA,20,0,"Other","Low","after","Caranx melampygus",117,"Large",TRUE,19
"13","FP_201_ASH002",2016,NA,"Carcharhinidae","Carcharhinus","amblyrhynchos","Carcharhinidae Carcharhinus amblyrhynchos",35.2939,0,NA,20,0,"Other","Low","before","Carcharhinus amblyrhynchos",255,"Large",TRUE,1
"14","FP_201_ASH002",2016,NA,"Carcharhinidae","Carcharhinus","amblyrhynchos","Carcharhinidae Carcharhinus amblyrhynchos",35.2939,0,NA,20,0,"Other","Low","arrival ","Carcharhinus amblyrhynchos",255,"Large",TRUE,1
"15","FP_201_ASH002",2016,NA,"Carcharhinidae","Carcharhinus","amblyrhynchos","Carcharhinidae Carcharhinus amblyrhynchos",35.2939,0,NA,20,0,"Other","Low","after","Carcharhinus amblyrhynchos",255,"Large",TRUE,1
"16","FP_201_ASH002",2016,NA,"Lethrinidae","Lethrinus","amboinensis","Lethrinidae Lethrinus amboinensis",41.27,0,NA,20,0,"Other","Low","before","Lethrinus amboinensis",70,"Medium",TRUE,1
"17","FP_201_ASH002",2016,NA,"Lethrinidae","Lethrinus","amboinensis","Lethrinidae Lethrinus amboinensis",41.27,0,NA,20,0,"Other","Low","arrival ","Lethrinus amboinensis",70,"Medium",TRUE,1
"18","FP_201_ASH002",2016,NA,"Lethrinidae","Lethrinus","amboinensis","Lethrinidae Lethrinus amboinensis",41.27,0,NA,20,0,"Other","Low","after","Lethrinus amboinensis",70,"Medium",TRUE,1
"19","FP_201_ASH002",2016,NA,"Lethrinidae","Lethrinus","olivaceus","Lethrinidae Lethrinus olivaceus",6.8933,0,NA,20,0,"Other","Low","before","Lethrinus olivaceus",100,"Large",TRUE,3
"20","FP_201_ASH002",2016,NA,"Lethrinidae","Lethrinus","olivaceus","Lethrinidae Lethrinus olivaceus",6.8933,0,NA,20,0,"Other","Low","arrival ","Lethrinus olivaceus",100,"Large",TRUE,3
"21","FP_201_ASH002",2016,NA,"Lethrinidae","Lethrinus","olivaceus","Lethrinidae Lethrinus olivaceus",6.8933,0,NA,20,0,"Other","Low","after","Lethrinus olivaceus",100,"Large",TRUE,3
"22","FP_201_ASH002",2016,NA,"Lethrinidae","Lethrinus","rubrioperculatus","Lethrinidae Lethrinus rubrioperculatus",6.9628,0,NA,20,0,"Other","Low","before","Lethrinus rubrioperculatus",50,"Medium",TRUE,3
"23","FP_201_ASH002",2016,NA,"Lethrinidae","Lethrinus","rubrioperculatus","Lethrinidae Lethrinus rubrioperculatus",6.9628,0,NA,20,0,"Other","Low","arrival ","Lethrinus rubrioperculatus",50,"Medium",TRUE,3
"24","FP_201_ASH002",2016,NA,"Lethrinidae","Lethrinus","rubrioperculatus","Lethrinidae Lethrinus rubrioperculatus",6.9628,0,NA,20,0,"Other","Low","after","Lethrinus rubrioperculatus",50,"Medium",TRUE,3
"25","FP_201_ASH002",2016,NA,"Lutjanidae","Aprion","virescens","Lutjanidae Aprion virescens",27.3272,0,NA,20,0,"Other","Low","before","Aprion virescens",112,"Large",TRUE,1
"26","FP_201_ASH002",2016,NA,"Lutjanidae","Aprion","virescens","Lutjanidae Aprion virescens",27.3272,0,NA,20,0,"Other","Low","arrival ","Aprion virescens",112,"Large",TRUE,1
"27","FP_201_ASH002",2016,NA,"Lutjanidae","Aprion","virescens","Lutjanidae Aprion virescens",27.3272,0,NA,20,0,"Other","Low","after","Aprion virescens",112,"Large",TRUE,1
"28","FP_201_ASH003",2016,NA,"Carangidae","Carangoides","ferdau","Carangidae Carangoides ferdau",14.4389,0,NA,20,0,"Sand","Low","absent","Carangoides ferdau",70,"Medium",FALSE,1
"29","FP_201_ASH003",2016,NA,"Carangidae","Caranx","melampygus","Carangidae Caranx melampygus",30.9883,0,NA,20,0,"Sand","Low","absent","Caranx melampygus",117,"Large",FALSE,1
"30","FP_201_ASH003",2016,NA,"Lethrinidae","Gymnocranius","grandoculis","Lethrinidae Gymnocranius grandoculis",15.7022,0,NA,20,0,"Sand","Low","absent","Gymnocranius grandoculis",80,"Medium",FALSE,2
"31","FP_201_ASH003",2016,23.305,"Lethrinidae","Lethrinus","microdon","Lethrinidae Lethrinus microdon",23.305,1,0,20,0,"Sand","Low","absent","Lethrinus microdon",80,"Medium",FALSE,2
"32","FP_201_ASH003",2016,23.88,"Lethrinidae","Lethrinus","olivaceus","Lethrinidae Lethrinus olivaceus",6.7378,1,17.1422,20,0,"Sand","Low","absent","Lethrinus olivaceus",100,"Large",FALSE,1
"33","FP_201_ASH003",2016,NA,"Lethrinidae","Lethrinus","rubrioperculatus","Lethrinidae Lethrinus rubrioperculatus",5.335,0,NA,20,0,"Sand","Low","absent","Lethrinus rubrioperculatus",50,"Medium",FALSE,3
"34","FP_201_ASH003",2016,23.88,"Lutjanidae","Aprion","virescens","Lutjanidae Aprion virescens",23.6261,1,0.253899999999998,20,0,"Sand","Low","absent","Aprion virescens",112,"Large",FALSE,1
"35","FP_201_ASH006",2016,NA,"Carangidae","Carangoides","caeruleopinnatus","Carangidae Carangoides caeruleopinnatus",18.2677,0,NA,38,0,"Sand","Low","before","Carangoides caeruleopinnatus",NA,NA,TRUE,1
"36","FP_201_ASH006",2016,NA,"Carangidae","Carangoides","caeruleopinnatus","Carangidae Carangoides caeruleopinnatus",18.2677,0,NA,38,0,"Sand","Low","arrival","Carangoides caeruleopinnatus",NA,NA,TRUE,1
"37","FP_201_ASH006",2016,NA,"Carangidae","Carangoides","caeruleopinnatus","Carangidae Carangoides caeruleopinnatus",18.2677,0,NA,38,0,"Sand","Low","after","Carangoides caeruleopinnatus",NA,NA,TRUE,1
"38","FP_201_ASH006",2016,NA,"Carangidae","Carangoides","orthogrammus","Carangidae Carangoides orthogrammus",43.3456,0,NA,38,0,"Sand","Low","before","Carangoides orthogrammus",75,"Medium",TRUE,1
"39","FP_201_ASH006",2016,NA,"Carangidae","Carangoides","orthogrammus","Carangidae Carangoides orthogrammus",43.3456,0,NA,38,0,"Sand","Low","arrival","Carangoides orthogrammus",75,"Medium",TRUE,1
"40","FP_201_ASH006",2016,NA,"Carangidae","Carangoides","orthogrammus","Carangidae Carangoides orthogrammus",43.3456,0,NA,38,0,"Sand","Low","after","Carangoides orthogrammus",75,"Medium",TRUE,1
"41","FP_201_ASH006",2016,NA,"Carangidae","Caranx","melampygus","Carangidae Caranx melampygus",10.0578,0,NA,38,0,"Sand","Low","before","Caranx melampygus",117,"Large",TRUE,1
"42","FP_201_ASH006",2016,NA,"Carangidae","Caranx","melampygus","Carangidae Caranx melampygus",10.0578,0,NA,38,0,"Sand","Low","arrival","Caranx melampygus",117,"Large",TRUE,1
"43","FP_201_ASH006",2016,NA,"Carangidae","Caranx","melampygus","Carangidae Caranx melampygus",10.0578,0,NA,38,0,"Sand","Low","after","Caranx melampygus",117,"Large",TRUE,1
"44","FP_201_ASH006",2016,NA,"Carcharhinidae","Carcharhinus","amblyrhynchos","Carcharhinidae Carcharhinus amblyrhynchos",28.8933,0,NA,38,0,"Sand","Low","before","Carcharhinus amblyrhynchos",255,"Large",TRUE,1
"45","FP_201_ASH006",2016,NA,"Carcharhinidae","Carcharhinus","amblyrhynchos","Carcharhinidae Carcharhinus amblyrhynchos",28.8933,0,NA,38,0,"Sand","Low","arrival","Carcharhinus amblyrhynchos",255,"Large",TRUE,1
"46","FP_201_ASH006",2016,NA,"Carcharhinidae","Carcharhinus","amblyrhynchos","Carcharhinidae Carcharhinus amblyrhynchos",28.8933,0,NA,38,0,"Sand","Low","after","Carcharhinus amblyrhynchos",255,"Large",TRUE,1
"47","FP_201_ASH006",2016,NA,"Lethrinidae","Gymnocranius","sp","Lethrinidae Gymnocranius sp",10.7691,0,NA,38,0,"Sand","Low","before","Gymnocranius sp",NA,NA,TRUE,1
"48","FP_201_ASH006",2016,NA,"Lethrinidae","Gymnocranius","sp","Lethrinidae Gymnocranius sp",10.7691,0,NA,38,0,"Sand","Low","arrival","Gymnocranius sp",NA,NA,TRUE,1
"49","FP_201_ASH006",2016,NA,"Lethrinidae","Gymnocranius","sp","Lethrinidae Gymnocranius sp",10.7691,0,NA,38,0,"Sand","Low","after","Gymnocranius sp",NA,NA,TRUE,1
"50","FP_201_ASH006",2016,NA,"Lethrinidae","Lethrinus","amboinensis","Lethrinidae Lethrinus amboinensis",13.2922,0,NA,38,0,"Sand","Low","before","Lethrinus amboinensis",70,"Medium",TRUE,2
"51","FP_201_ASH006",2016,NA,"Lethrinidae","Lethrinus","amboinensis","Lethrinidae Lethrinus amboinensis",13.2922,0,NA,38,0,"Sand","Low","arrival","Lethrinus amboinensis",70,"Medium",TRUE,2
"52","FP_201_ASH006",2016,NA,"Lethrinidae","Lethrinus","amboinensis","Lethrinidae Lethrinus amboinensis",13.2922,0,NA,38,0,"Sand","Low","after","Lethrinus amboinensis",70,"Medium",TRUE,2
"53","FP_201_ASH006",2016,NA,"Lethrinidae","Lethrinus","olivaceus","Lethrinidae Lethrinus olivaceus",10.6228,0,NA,38,0,"Sand","Low","before","Lethrinus olivaceus",100,"Large",TRUE,2
"54","FP_201_ASH006",2016,NA,"Lethrinidae","Lethrinus","olivaceus","Lethrinidae Lethrinus olivaceus",10.6228,0,NA,38,0,"Sand","Low","arrival","Lethrinus olivaceus",100,"Large",TRUE,2
"55","FP_201_ASH006",2016,NA,"Lethrinidae","Lethrinus","olivaceus","Lethrinidae Lethrinus olivaceus",10.6228,0,NA,38,0,"Sand","Low","after","Lethrinus olivaceus",100,"Large",TRUE,2
"56","FP_201_ASH006",2016,NA,"Lethrinidae","Lethrinus","ravus","Lethrinidae Lethrinus ravus",30.7174,0,NA,38,0,"Sand","Low","before","Lethrinus ravus",25,"Small",TRUE,3
"57","FP_201_ASH006",2016,NA,"Lethrinidae","Lethrinus","ravus","Lethrinidae Lethrinus ravus",30.7174,0,NA,38,0,"Sand","Low","arrival","Lethrinus ravus",25,"Small",TRUE,3
"58","FP_201_ASH006",2016,NA,"Lethrinidae","Lethrinus","ravus","Lethrinidae Lethrinus ravus",30.7174,0,NA,38,0,"Sand","Low","after","Lethrinus ravus",25,"Small",TRUE,3
"59","FP_201_ASH006",2016,NA,"Lethrinidae","Lethrinus","rubrioperculatus","Lethrinidae Lethrinus rubrioperculatus",30.7174,0,NA,38,0,"Sand","Low","before","Lethrinus rubrioperculatus",50,"Medium",TRUE,1
"60","FP_201_ASH006",2016,NA,"Lethrinidae","Lethrinus","rubrioperculatus","Lethrinidae Lethrinus rubrioperculatus",30.7174,0,NA,38,0,"Sand","Low","arrival","Lethrinus rubrioperculatus",50,"Medium",TRUE,1
"61","FP_201_ASH006",2016,NA,"Lethrinidae","Lethrinus","rubrioperculatus","Lethrinidae Lethrinus rubrioperculatus",30.7174,0,NA,38,0,"Sand","Low","after","Lethrinus rubrioperculatus",50,"Medium",TRUE,1
"62","FP_201_ASH012",2016,NA,"Carangidae","Carangoides","plagiotaenia","Carangidae Carangoides plagiotaenia",35.5239,0,NA,26,0,"Other","Low","before","Carangoides plagiotaenia",50,"Medium",TRUE,1
"63","FP_201_ASH012",2016,NA,"Carangidae","Carangoides","plagiotaenia","Carangidae Carangoides plagiotaenia",35.5239,0,NA,26,0,"Other","Low","arrival","Carangoides plagiotaenia",50,"Medium",TRUE,1
"64","FP_201_ASH012",2016,NA,"Carangidae","Carangoides","plagiotaenia","Carangidae Carangoides plagiotaenia",35.5239,0,NA,26,0,"Other","Low","after","Carangoides plagiotaenia",50,"Medium",TRUE,1
"65","FP_201_ASH012",2016,NA,"Carangidae","Caranx","melampygus","Carangidae Caranx melampygus",5.3944,0,NA,26,0,"Other","Low","before","Caranx melampygus",117,"Large",TRUE,3
"66","FP_201_ASH012",2016,NA,"Carangidae","Caranx","melampygus","Carangidae Caranx melampygus",5.3944,0,NA,26,0,"Other","Low","arrival","Caranx melampygus",117,"Large",TRUE,3
"67","FP_201_ASH012",2016,NA,"Carangidae","Caranx","melampygus","Carangidae Caranx melampygus",5.3944,0,NA,26,0,"Other","Low","after","Caranx melampygus",117,"Large",TRUE,3
"68","FP_201_ASH012",2016,NA,"Carcharhinidae","Carcharhinus","amblyrhynchos","Carcharhinidae Carcharhinus amblyrhynchos",15.4939,0,NA,26,0,"Other","Low","before","Carcharhinus amblyrhynchos",255,"Large",TRUE,4
"69","FP_201_ASH012",2016,NA,"Carcharhinidae","Carcharhinus","amblyrhynchos","Carcharhinidae Carcharhinus amblyrhynchos",15.4939,0,NA,26,0,"Other","Low","arrival","Carcharhinus amblyrhynchos",255,"Large",TRUE,4
"70","FP_201_ASH012",2016,NA,"Carcharhinidae","Carcharhinus","amblyrhynchos","Carcharhinidae Carcharhinus amblyrhynchos",15.4939,0,NA,26,0,"Other","Low","after","Carcharhinus amblyrhynchos",255,"Large",TRUE,4
"71","FP_201_ASH012",2016,NA,"Carcharhinidae","Triaenodon","obesus","Carcharhinidae Triaenodon obesus",58.4394,0,NA,26,0,"Other","Low","before","Triaenodon obesus",213,"Large",TRUE,1
"72","FP_201_ASH012",2016,NA,"Carcharhinidae","Triaenodon","obesus","Carcharhinidae Triaenodon obesus",58.4394,0,NA,26,0,"Other","Low","arrival","Triaenodon obesus",213,"Large",TRUE,1
"73","FP_201_ASH012",2016,NA,"Carcharhinidae","Triaenodon","obesus","Carcharhinidae Triaenodon obesus",58.4394,0,NA,26,0,"Other","Low","after","Triaenodon obesus",213,"Large",TRUE,1
"74","FP_201_ASH012",2016,NA,"Lethrinidae","Gymnocranius","grandoculis","Lethrinidae Gymnocranius grandoculis",3.7144,0,NA,26,0,"Other","Low","before","Gymnocranius grandoculis",80,"Medium",TRUE,10
"75","FP_201_ASH012",2016,NA,"Lethrinidae","Gymnocranius","grandoculis","Lethrinidae Gymnocranius grandoculis",3.7144,0,NA,26,0,"Other","Low","arrival","Gymnocranius grandoculis",80,"Medium",TRUE,10
"76","FP_201_ASH012",2016,NA,"Lethrinidae","Gymnocranius","grandoculis","Lethrinidae Gymnocranius grandoculis",3.7144,0,NA,26,0,"Other","Low","after","Gymnocranius grandoculis",80,"Medium",TRUE,10
"77","FP_201_ASH012",2016,NA,"Lethrinidae","Lethrinus","microdon","Lethrinidae Lethrinus microdon",27.4428,0,NA,26,0,"Other","Low","before","Lethrinus microdon",80,"Medium",TRUE,1
"78","FP_201_ASH012",2016,NA,"Lethrinidae","Lethrinus","microdon","Lethrinidae Lethrinus microdon",27.4428,0,NA,26,0,"Other","Low","arrival","Lethrinus microdon",80,"Medium",TRUE,1
"79","FP_201_ASH012",2016,NA,"Lethrinidae","Lethrinus","microdon","Lethrinidae Lethrinus microdon",27.4428,0,NA,26,0,"Other","Low","after","Lethrinus microdon",80,"Medium",TRUE,1
"80","FP_201_ASH012",2016,NA,"Lethrinidae","Lethrinus","olivaceus","Lethrinidae Lethrinus olivaceus",4.0261,0,NA,26,0,"Other","Low","before","Lethrinus olivaceus",100,"Large",TRUE,3
"81","FP_201_ASH012",2016,NA,"Lethrinidae","Lethrinus","olivaceus","Lethrinidae Lethrinus olivaceus",4.0261,0,NA,26,0,"Other","Low","arrival","Lethrinus olivaceus",100,"Large",TRUE,3
"82","FP_201_ASH012",2016,NA,"Lethrinidae","Lethrinus","olivaceus","Lethrinidae Lethrinus olivaceus",4.0261,0,NA,26,0,"Other","Low","after","Lethrinus olivaceus",100,"Large",TRUE,3
"83","FP_201_ASH012",2016,NA,"Lethrinidae","Lethrinus","rubrioperculatus","Lethrinidae Lethrinus rubrioperculatus",17.9694,0,NA,26,0,"Other","Low","before","Lethrinus rubrioperculatus",50,"Medium",TRUE,4
"84","FP_201_ASH012",2016,NA,"Lethrinidae","Lethrinus","rubrioperculatus","Lethrinidae Lethrinus rubrioperculatus",17.9694,0,NA,26,0,"Other","Low","arrival","Lethrinus rubrioperculatus",50,"Medium",TRUE,4
"85","FP_201_ASH012",2016,NA,"Lethrinidae","Lethrinus","rubrioperculatus","Lethrinidae Lethrinus rubrioperculatus",17.9694,0,NA,26,0,"Other","Low","after","Lethrinus rubrioperculatus",50,"Medium",TRUE,4
"86","FP_201_ASH014",2016,NA,"Carangidae","Carangoides","caeruleopinnatus","Carangidae Carangoides caeruleopinnatus",41.1561,0,NA,22,0,"Sand","Low","absent","Carangoides caeruleopinnatus",NA,NA,FALSE,1
"87","FP_201_ASH014",2016,NA,"Lutjanidae","Aprion","virescens","Lutjanidae Aprion virescens",28.8583,0,NA,22,0,"Sand","Low","absent","Aprion virescens",112,"Large",FALSE,1
"88","FP_201_ASH017",2016,NA,"Carangidae","Caranx","melampygus","Carangidae Caranx melampygus",1.1167,0,NA,15.1,30,"Reef","Medium","before","Caranx melampygus",117,"Large",TRUE,2
"89","FP_201_ASH017",2016,NA,"Carangidae","Caranx","melampygus","Carangidae Caranx melampygus",1.1167,0,NA,15.1,30,"Reef","Medium ","before","Caranx melampygus",117,"Large",TRUE,2
"90","FP_201_ASH017",2016,NA,"Carangidae","Caranx","melampygus","Carangidae Caranx melampygus",1.1167,0,NA,15.1,30,"Reef","Medium ","arrival","Caranx melampygus",117,"Large",TRUE,2
"91","FP_201_ASH017",2016,NA,"Carangidae","Caranx","melampygus","Carangidae Caranx melampygus",1.1167,0,NA,15.1,30,"Reef","Medium","after","Caranx melampygus",117,"Large",TRUE,2
"92","FP_201_ASH017",2016,NA,"Carangidae","Caranx","melampygus","Carangidae Caranx melampygus",1.1167,0,NA,15.1,30,"Reef","Medium ","after","Caranx melampygus",117,"Large",TRUE,2
"93","FP_201_ASH017",2016,14.8799,"Carcharhinidae","Carcharhinus","amblyrhynchos","Carcharhinidae Carcharhinus amblyrhynchos",14.8198,1,0.0600999999999985,15.1,30,"Reef","Medium","before","Carcharhinus amblyrhynchos",255,"Large",TRUE,3
"94","FP_201_ASH017",2016,14.8799,"Carcharhinidae","Carcharhinus","amblyrhynchos","Carcharhinidae Carcharhinus amblyrhynchos",14.8198,1,0.0600999999999985,15.1,30,"Reef","Medium ","before","Carcharhinus amblyrhynchos",255,"Large",TRUE,3
"95","FP_201_ASH017",2016,14.8799,"Carcharhinidae","Carcharhinus","amblyrhynchos","Carcharhinidae Carcharhinus amblyrhynchos",14.8198,1,0.0600999999999985,15.1,30,"Reef","Medium ","arrival","Carcharhinus amblyrhynchos",255,"Large",TRUE,3
"96","FP_201_ASH017",2016,14.8799,"Carcharhinidae","Carcharhinus","amblyrhynchos","Carcharhinidae Carcharhinus amblyrhynchos",14.8198,1,0.0600999999999985,15.1,30,"Reef","Medium","after","Carcharhinus amblyrhynchos",255,"Large",TRUE,3
"97","FP_201_ASH017",2016,14.8799,"Carcharhinidae","Carcharhinus","amblyrhynchos","Carcharhinidae Carcharhinus amblyrhynchos",14.8198,1,0.0600999999999985,15.1,30,"Reef","Medium ","after","Carcharhinus amblyrhynchos",255,"Large",TRUE,3
"98","FP_201_ASH017",2016,NA,"Lethrinidae","Lethrinus","olivaceus","Lethrinidae Lethrinus olivaceus",19.7236,0,NA,15.1,30,"Reef","Medium","before","Lethrinus olivaceus",100,"Large",TRUE,1
"99","FP_201_ASH017",2016,NA,"Lethrinidae","Lethrinus","olivaceus","Lethrinidae Lethrinus olivaceus",19.7236,0,NA,15.1,30,"Reef","Medium ","before","Lethrinus olivaceus",100,"Large",TRUE,1
"100","FP_201_ASH017",2016,NA,"Lethrinidae","Lethrinus","olivaceus","Lethrinidae Lethrinus olivaceus",19.7236,0,NA,15.1,30,"Reef","Medium ","arrival","Lethrinus olivaceus",100,"Large",TRUE,1
"101","FP_201_ASH017",2016,NA,"Lethrinidae","Lethrinus","olivaceus","Lethrinidae Lethrinus olivaceus",19.7236,0,NA,15.1,30,"Reef","Medium","after","Lethrinus olivaceus",100,"Large",TRUE,1
"102","FP_201_ASH017",2016,NA,"Lethrinidae","Lethrinus","olivaceus","Lethrinidae Lethrinus olivaceus",19.7236,0,NA,15.1,30,"Reef","Medium ","after","Lethrinus olivaceus",100,"Large",TRUE,1
"103","FP_201_ASH017",2016,3.3016,"Lethrinidae","Lethrinus","rubrioperculatus","Lethrinidae Lethrinus rubrioperculatus",1.1167,1,2.1849,15.1,30,"Reef","Medium","before","Lethrinus rubrioperculatus",50,"Medium",TRUE,3
"104","FP_201_ASH017",2016,3.3016,"Lethrinidae","Lethrinus","rubrioperculatus","Lethrinidae Lethrinus rubrioperculatus",1.1167,1,2.1849,15.1,30,"Reef","Medium ","before","Lethrinus rubrioperculatus",50,"Medium",TRUE,3
"105","FP_201_ASH017",2016,3.3016,"Lethrinidae","Lethrinus","rubrioperculatus","Lethrinidae Lethrinus rubrioperculatus",1.1167,1,2.1849,15.1,30,"Reef","Medium ","arrival","Lethrinus rubrioperculatus",50,"Medium",TRUE,3
"106","FP_201_ASH017",2016,3.3016,"Lethrinidae","Lethrinus","rubrioperculatus","Lethrinidae Lethrinus rubrioperculatus",1.1167,1,2.1849,15.1,30,"Reef","Medium","after","Lethrinus rubrioperculatus",50,"Medium",TRUE,3
"107","FP_201_ASH017",2016,3.3016,"Lethrinidae","Lethrinus","rubrioperculatus","Lethrinidae Lethrinus rubrioperculatus",1.1167,1,2.1849,15.1,30,"Reef","Medium ","after","Lethrinus rubrioperculatus",50,"Medium",TRUE,3
"108","FP_201_ASH017",2016,NA,"Lutjanidae","Aprion","virescens","Lutjanidae Aprion virescens",9.8004,0,NA,15.1,30,"Reef","Medium","before","Aprion virescens",112,"Large",TRUE,1
"109","FP_201_ASH017",2016,NA,"Lutjanidae","Aprion","virescens","Lutjanidae Aprion virescens",9.8004,0,NA,15.1,30,"Reef","Medium ","before","Aprion virescens",112,"Large",TRUE,1
"110","FP_201_ASH017",2016,NA,"Lutjanidae","Aprion","virescens","Lutjanidae Aprion virescens",9.8004,0,NA,15.1,30,"Reef","Medium ","arrival","Aprion virescens",112,"Large",TRUE,1
"111","FP_201_ASH017",2016,NA,"Lutjanidae","Aprion","virescens","Lutjanidae Aprion virescens",9.8004,0,NA,15.1,30,"Reef","Medium","after","Aprion virescens",112,"Large",TRUE,1
"112","FP_201_ASH017",2016,NA,"Lutjanidae","Aprion","virescens","Lutjanidae Aprion virescens",9.8004,0,NA,15.1,30,"Reef","Medium ","after","Aprion virescens",112,"Large",TRUE,1
"113","FP_201_ASH017",2016,NA,"Lutjanidae","Lutjanus","bohar","Lutjanidae Lutjanus bohar",3.518,0,NA,15.1,30,"Reef","Medium","before","Lutjanus bohar",90,"Medium",TRUE,2
"114","FP_201_ASH017",2016,NA,"Lutjanidae","Lutjanus","bohar","Lutjanidae Lutjanus bohar",3.518,0,NA,15.1,30,"Reef","Medium ","before","Lutjanus bohar",90,"Medium",TRUE,2
"115","FP_201_ASH017",2016,NA,"Lutjanidae","Lutjanus","bohar","Lutjanidae Lutjanus bohar",3.518,0,NA,15.1,30,"Reef","Medium ","arrival","Lutjanus bohar",90,"Medium",TRUE,2
"116","FP_201_ASH017",2016,NA,"Lutjanidae","Lutjanus","bohar","Lutjanidae Lutjanus bohar",3.518,0,NA,15.1,30,"Reef","Medium","after","Lutjanus bohar",90,"Medium",TRUE,2
"117","FP_201_ASH017",2016,NA,"Lutjanidae","Lutjanus","bohar","Lutjanidae Lutjanus bohar",3.518,0,NA,15.1,30,"Reef","Medium ","after","Lutjanus bohar",90,"Medium",TRUE,2
"118","FP_201_ASH017",2016,NA,"Serranidae","Variola","albimarginata","Serranidae Variola albimarginata",9.5284,0,NA,15.1,30,"Reef","Medium","before","Variola albimarginata",65,"Medium",TRUE,2
"119","FP_201_ASH017",2016,NA,"Serranidae","Variola","albimarginata","Serranidae Variola albimarginata",9.5284,0,NA,15.1,30,"Reef","Medium ","before","Variola albimarginata",65,"Medium",TRUE,2
"120","FP_201_ASH017",2016,NA,"Serranidae","Variola","albimarginata","Serranidae Variola albimarginata",9.5284,0,NA,15.1,30,"Reef","Medium ","arrival","Variola albimarginata",65,"Medium",TRUE,2
"121","FP_201_ASH017",2016,NA,"Serranidae","Variola","albimarginata","Serranidae Variola albimarginata",9.5284,0,NA,15.1,30,"Reef","Medium","after","Variola albimarginata",65,"Medium",TRUE,2
"122","FP_201_ASH017",2016,NA,"Serranidae","Variola","albimarginata","Serranidae Variola albimarginata",9.5284,0,NA,15.1,30,"Reef","Medium ","after","Variola albimarginata",65,"Medium",TRUE,2
"123","FP_201_ASH025",2016,NA,"Carangidae","Carangoides","plagiotaenia","Carangidae Carangoides plagiotaenia",41.1806,0,NA,5.3,25,"Reef","High","absent","Carangoides plagiotaenia",50,"Medium",FALSE,1
"124","FP_201_ASH025",2016,NA,"Carangidae","Caranx","melampygus","Carangidae Caranx melampygus",31.7011,0,NA,5.3,25,"Reef","High","absent","Caranx melampygus",117,"Large",FALSE,1
"125","FP_201_ASH025",2016,NA,"Lutjanidae","Aprion","virescens","Lutjanidae Aprion virescens",48.0642,0,NA,5.3,25,"Reef","High","absent","Aprion virescens",112,"Large",FALSE,1
