"","OP_CODE","SumMaxN","Year","TimeFirstFed","Family","Genus","Species","Scientific","TimeFirstSeen","HasFed","DelayToFeed","Depth","Coral","Habitat","Complexity","Treatment","Gensp","Length","Size_class","Shark_present","MaxN","Small_MaxN","Medium_MaxN","Large_MaxN"
"82","FP_201_ASH012",27,2016,NA,"Lethrinidae","Lethrinus","olivaceus","Lethrinidae Lethrinus olivaceus",4.0261,0,NA,26,0,"Other","Low","after","Lethrinus olivaceus",100,"Large",TRUE,3,0,16,11
"83","FP_201_ASH012",27,2016,NA,"Lethrinidae","Lethrinus","rubrioperculatus","Lethrinidae Lethrinus rubrioperculatus",17.9694,0,NA,26,0,"Other","Low","before","Lethrinus rubrioperculatus",50,"Medium",TRUE,4,0,16,11
"84","FP_201_ASH012",27,2016,NA,"Lethrinidae","Lethrinus","rubrioperculatus","Lethrinidae Lethrinus rubrioperculatus",17.9694,0,NA,26,0,"Other","Low","arrival","Lethrinus rubrioperculatus",50,"Medium",TRUE,4,0,16,11
"85","FP_201_ASH012",27,2016,NA,"Lethrinidae","Lethrinus","rubrioperculatus","Lethrinidae Lethrinus rubrioperculatus",17.9694,0,NA,26,0,"Other","Low","after","Lethrinus rubrioperculatus",50,"Medium",TRUE,4,0,16,11
"86","FP_201_ASH014",2,2016,NA,"Carangidae","Carangoides","caeruleopinnatus","Carangidae Carangoides caeruleopinnatus",41.1561,0,NA,22,0,"Sand","Low","absent","Carangoides caeruleopinnatus",NA,NA,TRUE,1,0,0,1
"87","FP_201_ASH014",2,2016,NA,"Lutjanidae","Aprion","virescens","Lutjanidae Aprion virescens",28.8583,0,NA,22,0,"Sand","Low","absent","Aprion virescens",112,"Large",TRUE,1,0,0,1
"88","FP_201_ASH017",14,2016,NA,"Carangidae","Caranx","melampygus","Carangidae Caranx melampygus",1.1167,0,NA,15.1,30,"Reef","Medium","before","Caranx melampygus",117,"Large",TRUE,2,0,7,7
"89","FP_201_ASH017",14,2016,NA,"Carangidae","Caranx","melampygus","Carangidae Caranx melampygus",1.1167,0,NA,15.1,30,"Reef","Medium ","before","Caranx melampygus",117,"Large",TRUE,2,0,7,7
"90","FP_201_ASH017",14,2016,NA,"Carangidae","Caranx","melampygus","Carangidae Caranx melampygus",1.1167,0,NA,15.1,30,"Reef","Medium ","arrival","Caranx melampygus",117,"Large",TRUE,2,0,7,7
"91","FP_201_ASH017",14,2016,NA,"Carangidae","Caranx","melampygus","Carangidae Caranx melampygus",1.1167,0,NA,15.1,30,"Reef","Medium","after","Caranx melampygus",117,"Large",TRUE,2,0,7,7
"92","FP_201_ASH017",14,2016,NA,"Carangidae","Caranx","melampygus","Carangidae Caranx melampygus",1.1167,0,NA,15.1,30,"Reef","Medium ","after","Caranx melampygus",117,"Large",TRUE,2,0,7,7
"93","FP_201_ASH017",14,2016,14.8799,"Carcharhinidae","Carcharhinus","amblyrhynchos","Carcharhinidae Carcharhinus amblyrhynchos",14.8198,1,0.0600999999999985,15.1,30,"Reef","Medium","before","Carcharhinus amblyrhynchos",255,"Large",TRUE,3,0,7,7
"94","FP_201_ASH017",14,2016,14.8799,"Carcharhinidae","Carcharhinus","amblyrhynchos","Carcharhinidae Carcharhinus amblyrhynchos",14.8198,1,0.0600999999999985,15.1,30,"Reef","Medium ","before","Carcharhinus amblyrhynchos",255,"Large",TRUE,3,0,7,7
"95","FP_201_ASH017",14,2016,14.8799,"Carcharhinidae","Carcharhinus","amblyrhynchos","Carcharhinidae Carcharhinus amblyrhynchos",14.8198,1,0.0600999999999985,15.1,30,"Reef","Medium ","arrival","Carcharhinus amblyrhynchos",255,"Large",TRUE,3,0,7,7
"96","FP_201_ASH017",14,2016,14.8799,"Carcharhinidae","Carcharhinus","amblyrhynchos","Carcharhinidae Carcharhinus amblyrhynchos",14.8198,1,0.0600999999999985,15.1,30,"Reef","Medium","after","Carcharhinus amblyrhynchos",255,"Large",TRUE,3,0,7,7
"97","FP_201_ASH017",14,2016,14.8799,"Carcharhinidae","Carcharhinus","amblyrhynchos","Carcharhinidae Carcharhinus amblyrhynchos",14.8198,1,0.0600999999999985,15.1,30,"Reef","Medium ","after","Carcharhinus amblyrhynchos",255,"Large",TRUE,3,0,7,7
"98","FP_201_ASH017",14,2016,NA,"Lethrinidae","Lethrinus","olivaceus","Lethrinidae Lethrinus olivaceus",19.7236,0,NA,15.1,30,"Reef","Medium","before","Lethrinus olivaceus",100,"Large",TRUE,1,0,7,7
"99","FP_201_ASH017",14,2016,NA,"Lethrinidae","Lethrinus","olivaceus","Lethrinidae Lethrinus olivaceus",19.7236,0,NA,15.1,30,"Reef","Medium ","before","Lethrinus olivaceus",100,"Large",TRUE,1,0,7,7
"100","FP_201_ASH017",14,2016,NA,"Lethrinidae","Lethrinus","olivaceus","Lethrinidae Lethrinus olivaceus",19.7236,0,NA,15.1,30,"Reef","Medium ","arrival","Lethrinus olivaceus",100,"Large",TRUE,1,0,7,7
"101","FP_201_ASH017",14,2016,NA,"Lethrinidae","Lethrinus","olivaceus","Lethrinidae Lethrinus olivaceus",19.7236,0,NA,15.1,30,"Reef","Medium","after","Lethrinus olivaceus",100,"Large",TRUE,1,0,7,7
"102","FP_201_ASH017",14,2016,NA,"Lethrinidae","Lethrinus","olivaceus","Lethrinidae Lethrinus olivaceus",19.7236,0,NA,15.1,30,"Reef","Medium ","after","Lethrinus olivaceus",100,"Large",TRUE,1,0,7,7
"103","FP_201_ASH017",14,2016,3.3016,"Lethrinidae","Lethrinus","rubrioperculatus","Lethrinidae Lethrinus rubrioperculatus",1.1167,1,2.1849,15.1,30,"Reef","Medium","before","Lethrinus rubrioperculatus",50,"Medium",TRUE,3,0,7,7
"104","FP_201_ASH017",14,2016,3.3016,"Lethrinidae","Lethrinus","rubrioperculatus","Lethrinidae Lethrinus rubrioperculatus",1.1167,1,2.1849,15.1,30,"Reef","Medium ","before","Lethrinus rubrioperculatus",50,"Medium",TRUE,3,0,7,7
"105","FP_201_ASH017",14,2016,3.3016,"Lethrinidae","Lethrinus","rubrioperculatus","Lethrinidae Lethrinus rubrioperculatus",1.1167,1,2.1849,15.1,30,"Reef","Medium ","arrival","Lethrinus rubrioperculatus",50,"Medium",TRUE,3,0,7,7
"106","FP_201_ASH017",14,2016,3.3016,"Lethrinidae","Lethrinus","rubrioperculatus","Lethrinidae Lethrinus rubrioperculatus",1.1167,1,2.1849,15.1,30,"Reef","Medium","after","Lethrinus rubrioperculatus",50,"Medium",TRUE,3,0,7,7
"107","FP_201_ASH017",14,2016,3.3016,"Lethrinidae","Lethrinus","rubrioperculatus","Lethrinidae Lethrinus rubrioperculatus",1.1167,1,2.1849,15.1,30,"Reef","Medium ","after","Lethrinus rubrioperculatus",50,"Medium",TRUE,3,0,7,7
"108","FP_201_ASH017",14,2016,NA,"Lutjanidae","Aprion","virescens","Lutjanidae Aprion virescens",9.8004,0,NA,15.1,30,"Reef","Medium","before","Aprion virescens",112,"Large",TRUE,1,0,7,7
"109","FP_201_ASH017",14,2016,NA,"Lutjanidae","Aprion","virescens","Lutjanidae Aprion virescens",9.8004,0,NA,15.1,30,"Reef","Medium ","before","Aprion virescens",112,"Large",TRUE,1,0,7,7
"110","FP_201_ASH017",14,2016,NA,"Lutjanidae","Aprion","virescens","Lutjanidae Aprion virescens",9.8004,0,NA,15.1,30,"Reef","Medium ","arrival","Aprion virescens",112,"Large",TRUE,1,0,7,7
"111","FP_201_ASH017",14,2016,NA,"Lutjanidae","Aprion","virescens","Lutjanidae Aprion virescens",9.8004,0,NA,15.1,30,"Reef","Medium","after","Aprion virescens",112,"Large",TRUE,1,0,7,7
"112","FP_201_ASH017",14,2016,NA,"Lutjanidae","Aprion","virescens","Lutjanidae Aprion virescens",9.8004,0,NA,15.1,30,"Reef","Medium ","after","Aprion virescens",112,"Large",TRUE,1,0,7,7
"113","FP_201_ASH017",14,2016,NA,"Lutjanidae","Lutjanus","bohar","Lutjanidae Lutjanus bohar",3.518,0,NA,15.1,30,"Reef","Medium","before","Lutjanus bohar",90,"Medium",TRUE,2,0,7,7
"114","FP_201_ASH017",14,2016,NA,"Lutjanidae","Lutjanus","bohar","Lutjanidae Lutjanus bohar",3.518,0,NA,15.1,30,"Reef","Medium ","before","Lutjanus bohar",90,"Medium",TRUE,2,0,7,7
