OpCode,Frame,Time first seen (mins),TapeReader,Depth,Family,Genus,Species,Code,Stage
FP_201_ASH036,99977,55.5984,CWS,7,,,,,AD
FP_201_ASH036,17709,9.8482,CWS,7,Carangidae,Carangoides,orthogrammus,37337057,AD
FP_201_ASH036,8955,4.98,CWS,7,Carangidae,Caranx,melampygus,37337050,AD
FP_201_ASH036,17921,9.9661,CWS,7,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,AD
FP_201_ASH036,60905,33.87,CWS,7,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,F
FP_201_ASH036,13327,7.4113,CWS,7,Carcharhinidae,Triaenodon,obesus,37018038,AD
FP_201_ASH036,99977,55.5984,CWS,7,Cheloniidae,Eretmochelys,imbricata,39020003,AD
FP_201_ASH036,22028,12.25,CWS,7,Lethrinidae,Lethrinus,atkinsoni,37351013,AD
FP_201_ASH036,9012,5.0117,CWS,7,Lethrinidae,Lethrinus,microdon,37351011,AD
FP_201_ASH036,59058,32.8428,CWS,7,Lutjanidae,Aprion,virescens,37346027,AD
FP_201_ASH036,9038,5.0261,CWS,7,Lutjanidae,Lutjanus,bohar,37346029,AD
FP_201_ASH036,24621,13.692,CWS,7,Lutjanidae,Lutjanus,decussatus,37346041,AD
FP_201_ASH036,47673,26.5115,CWS,7,Lutjanidae,Lutjanus,rivulatus,37346016,AD
FP_201_ASH036,5840,3.2477,CWS,7,Lutjanidae,Macolor,sp,,AD
FP_201_ASH036,44760,24.8916,CWS,7,Lutjanidae,Macolor,sp,,J
FP_201_ASH036,68241,37.9496,CWS,7,Serranidae,Aethaloperca,rogaa,37311134,AD
FP_201_ASH036,10215,5.6807,CWS,7,Serranidae,Cephalopholis,argus,37311082,AD
FP_201_ASH036,13099,7.2845,CWS,7,Serranidae,Cephalopholis,urodeta,37311142,AD
FP_201_ASH036,23840,13.2577,CWS,7,Serranidae,Epinephelus,fasciatus,37311014,AD
FP_201_ASH036,13167,7.3223,CWS,7,Serranidae,Variola,louti,37311166,AD
FP_201_ASH036,16821,9.3544,CWS,7,Stegostomatidae,Stegostoma,fasciatum,37013006,AD
FP_201_ASH040,10237,5.6929,CWS,39.7,Carangidae,Carangoides,orthogrammus,37337057,AD
