OpCode,MaxN,Family,Genus,Species
FP_201_ASH061,1,Serranidae,Aethaloperca,rogaa
FP_201_ASH061,1,Serranidae,Cephalopholis,argus
FP_201_ASH061,2,Serranidae,Cephalopholis,urodeta
FP_201_ASH061,1,Serranidae,Variola,albimarginata
FP_201_ASH061,1,Sphyraenidae,Sphyraena,barracuda
FP_201_ASH068,1,Carangidae,Carangoides,ferdau
FP_201_ASH068,2,Carangidae,Carangoides,orthogrammus
FP_201_ASH068,1,Carangidae,Carangoides,plagiotaenia
FP_201_ASH068,1,Carangidae,Caranx,melampygus
FP_201_ASH068,1,Dasyatidae,Dasyatis,kuhlii
FP_201_ASH068,1,Lethrinidae,Gymnocranius,grandoculis
FP_201_ASH068,2,Lethrinidae,Lethrinus,olivaceus
FP_201_ASH068,1,Lutjanidae,Aprion,virescens
FP_201_ASH068,11,Myliobatidae,Aetobatus,narinari
FP_201_ASH068,1,Rhynchobatidae,Rhynchobatus,laevis
FP_201_ASH052,1,Carangidae,Carangoides,ferdau
FP_201_ASH052,1,Carangidae,Carangoides,orthogrammus
FP_201_ASH052,1,Dasyatidae,Himantura,granulata
FP_201_ASH052,1,Dasyatidae,Pastinachus,sephen
FP_201_ASH052,7,Lethrinidae,Gymnocranius,grandoculis
FP_201_ASH052,1,Lethrinidae,Lethrinus,olivaceus
FP_201_ASH052,1,Lutjanidae,Aprion,virescens
FP_201_ASH053,1,Carangidae,Carangoides,orthogrammus
FP_201_ASH053,2,Carangidae,Caranx,melampygus
FP_201_ASH053,1,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH053,1,Lutjanidae,Aprion,virescens
FP_201_ASH053,2,Lutjanidae,Lutjanus,bohar
FP_201_ASH053,4,Lutjanidae,Lutjanus,decussatus
FP_201_ASH053,2,Serranidae,Cephalopholis,argus
FP_201_ASH053,2,Serranidae,Cephalopholis,urodeta
FP_201_ASH053,1,Serranidae,Plectropomus,laevis
FP_201_ASH054,2,Carangidae,Carangoides,fulvoguttatus
FP_201_ASH054,7,Carangidae,Carangoides,orthogrammus
FP_201_ASH054,1,Carangidae,Caranx,ignobilis
FP_201_ASH054,4,Carangidae,Gnathanodon,speciosus
FP_201_ASH054,1,Carangidae,Scomberoides,lysan
FP_201_ASH054,1,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH054,1,Carcharhinidae,Triaenodon,obesus
FP_201_ASH054,1,Dasyatidae,Dasyatis,kuhlii
FP_201_ASH054,1,Dasyatidae,Himantura,fai
FP_201_ASH054,1,Echeneidae,Echeneis,naucrates
FP_201_ASH054,2,Lethrinidae,Gymnocranius,grandoculis
FP_201_ASH054,1,Lethrinidae,Lethrinus,olivaceus
FP_201_ASH054,1,Lethrinidae,Lethrinus,rubrioperculatus
FP_201_ASH054,1,Rhinidae,Rhynchobatus,australiae
FP_201_ASH055,1,Carangidae,Carangoides,oblongus
FP_201_ASH055,3,Carangidae,Carangoides,orthogrammus
FP_201_ASH055,1,Carangidae,Caranx,melampygus
FP_201_ASH055,1,Lethrinidae,Lethrinus,atkinsoni
