MaxN

Generated: Friday, January 12, 2018 14:52:36

Filename	Frame	Time (mins)	Period	Period time (mins)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	MaxN	Has fed
FP_201_ASH013.avi	  71216	  39.5644			FP_201_ASH013	CWS	25.2										Carcharhinidae	Carcharhinus	amblyrhynchos	37018030	2	No
FP_201_ASH013.avi	 102660	  57.0333			FP_201_ASH013	CWS	25.2										Cheloniidae	Chelonia	mydas	11111113	1	No
FP_201_ASH013.avi	 100573	  55.8738			FP_201_ASH013	CWS	25.2										Lethrinidae	Lethrinus	rubrioperculatus	37351012	30	No
FP_201_ASH013.avi	   9139	   5.0772			FP_201_ASH013	CWS	25.2										Lutjanidae	Aprion	virescens	37346027	1	No
FP_201_ASH013.avi	  40743	  22.6350			FP_201_ASH013	CWS	25.2										Sphyraenidae	Sphyraena	barracuda	37382008	1	No
FP_201_ASH014.avi	  74081	  41.1561			FP_201_ASH014	CWS,BV	22.8										Carangidae	Carangoides	caeruleopinnatus	37337021	1	No
FP_201_ASH014.avi	  74373	  41.3183			FP_201_ASH014	CWS,BV	22.8										Echeneidae	Echeneis	naucrates	37336001	2	No
FP_201_ASH014.avi	  51945	  28.8583			FP_201_ASH014	CWS,BV	22.8										Lutjanidae	Aprion	virescens	37346027	1	No
FP_201_ASH014.avi	  74081	  41.1561			FP_201_ASH014	CWS,BV	22.8										Rhynchobatidae	Rhynchobatus	laevis	37026003	2	No
FP_201_ASH017.avi	  23810	  13.2410			FP_201_ASH017	CWS,BV	15.1										Carangidae	Caranx	melampygus	37337050	2	No
FP_201_ASH017.avi	  50249	  27.9441			FP_201_ASH017	CWS,BV	15.1										Carcharhinidae	Carcharhinus	amblyrhynchos	37018030	3	Yes
FP_201_ASH017.avi	  26649	  14.8198			FP_201_ASH017	CWS,BV	15.1										Echeneidae	Echeneis	naucrates	37336001	1	No
FP_201_ASH017.avi	  35467	  19.7236			FP_201_ASH017	CWS,BV	15.1										Lethrinidae	Lethrinus	olivaceus	37351004	1	No
FP_201_ASH017.avi	  11579	   6.4392			FP_201_ASH017	CWS,BV	15.1										Lethrinidae	Lethrinus	rubrioperculatus	37351012	3	Yes
FP_201_ASH017.avi	  17623	   9.8004			FP_201_ASH017	CWS,BV	15.1										Lutjanidae	Aprion	virescens	37346027	1	No
FP_201_ASH017.avi	   6827	   3.7966			FP_201_ASH017	CWS,BV	15.1										Lutjanidae	Lutjanus	bohar	37346029	2	No
FP_201_ASH017.avi	  17134	   9.5284			FP_201_ASH017	CWS,BV	15.1										Serranidae	Variola	albimarginata	37311026	2	No
FP_201_ASH006.avi	  32849	  18.2677			FP_201_ASH006	CWS	38										Carangidae	Carangoides	caeruleopinnatus	37337021	1	No
FP_201_ASH006.avi	  77944	  43.3456			FP_201_ASH006	CWS	38										Carangidae	Carangoides	orthogrammus	37337057	1	No
FP_201_ASH006.avi	  18086	  10.0578			FP_201_ASH006	CWS	38										Carangidae	Caranx	melampygus	37337050	1	No
FP_201_ASH006.avi	  51956	  28.8933			FP_201_ASH006	CWS	38										Carcharhinidae	Carcharhinus	amblyrhynchos	37018030	1	No
FP_201_ASH006.avi	  99364	  55.2575			FP_201_ASH006	CWS	38										Congridae	Gorgasia			1	No
FP_201_ASH006.avi	 107438	  59.7475			FP_201_ASH006	CWS	38										Dasyatidae	Dasyatis	kuhlii	37035004	1	No
FP_201_ASH006.avi	 104161	  57.9251			FP_201_ASH006	CWS	38										Echeneidae	Echeneis	naucrates	37336001	2	No
FP_201_ASH006.avi	  19365	  10.7691			FP_201_ASH006	CWS	38										Lethrinidae	Gymnocranius	sp		1	No
FP_201_ASH006.avi	  28220	  15.6935			FP_201_ASH006	CWS	38										Lethrinidae	Lethrinus	amboinensis	37351024	2	No
FP_201_ASH006.avi	  32395	  18.0152			FP_201_ASH006	CWS	38										Lethrinidae	Lethrinus	olivaceus	37351004	2	No
FP_201_ASH006.avi	  91624	  50.9532			FP_201_ASH006	CWS	38										Lethrinidae	Lethrinus	ravus	37351031	3	No
FP_201_ASH006.avi	  55236	  30.7174			FP_201_ASH006	CWS	38										Lethrinidae	Lethrinus	rubrioperculatus	37351012	1	No
FP_201_ASH006.avi	  41918	  23.3111			FP_201_ASH006	CWS	38										Nemipteridae	Pentapodus	emeryii	37347027	2	No
FP_201_ASH006.avi	 101208	  56.2829			FP_201_ASH006	CWS	38										Rachycentridae	Rachycentron	canadum	37335001	1	No
FP_201_ASH006.avi	 101528	  56.4609			FP_201_ASH006	CWS	38										Rhinidae	Rhynchobatus			1	No
FP_201_ASH006.avi	  59117	  32.8757			FP_201_ASH006	CWS	38										Scombridae	Gymnosarda	unicolor	37441029	2	No
FP_201_ASH007.avi	   8894	   4.9461			FP_201_ASH007	CWS	27										Carangidae	Caranx	melampygus	37337050	1	No
FP_201_ASH007.avi	  34879	  19.3966			FP_201_ASH007	CWS	27										Carcharhinidae	Carcharhinus	amblyrhynchos	37018030	2	No
FP_201_ASH007.avi	  43261	  24.0579			FP_201_ASH007	CWS	27										Cheloniidae	Chelonia	mydas	39020002	1	No
FP_201_ASH007.avi	   7893	   4.3894			FP_201_ASH007	CWS	27										Lethrinidae	Lethrinus	amboinensis	37351024	2	No
FP_201_ASH007.avi	  46184	  25.6835			FP_201_ASH007	CWS	27										Lethrinidae	Lethrinus	olivaceus	37351004	1	No
FP_201_ASH007.avi	  19155	  10.6523			FP_201_ASH007	CWS	27										Lethrinidae	Lethrinus	rubrioperculatus	37351012	3	No
FP_201_ASH007.avi	  14099	   7.8406			FP_201_ASH007	CWS	27										Lutjanidae	Aprion	virescens	37346027	1	No
FP_201_ASH007.avi	  12039	   6.6950			FP_201_ASH007	CWS	27										Lutjanidae	Lutjanus	decussatus	37346041	2	No
FP_201_ASH007.avi	  13492	   7.5031			FP_201_ASH007	CWS	27										Nemipteridae	Pentapodus	emeryii	37347027	3	No
FP_201_ASH007.avi	  13823	   7.6871			FP_201_ASH007	CWS	27										Serranidae	Variola	louti	37311166	1	No
FP_201_ASH041.avi	  24794	  13.7882			FP_201_ASH041	CWS, BV	39.5										Carangidae	Caranx	melampygus	37337050	1	No
FP_201_ASH041.avi	  11348	   6.3108			FP_201_ASH041	CWS, BV	39.5										Carcharhinidae	Carcharhinus	amblyrhynchos	37018030	1	Yes
FP_201_ASH041.avi	 119423	  66.4125			FP_201_ASH041	CWS, BV	39.5										Dasyatidae	Dasyatis	sp		1	No
FP_201_ASH041.avi	  29103	  16.1845			FP_201_ASH041	CWS, BV	39.5										Lethrinidae	Lethrinus	amboinensis	37351024	2	Yes
FP_201_ASH041.avi	  34071	  18.9473			FP_201_ASH041	CWS, BV	39.5										Lethrinidae	Lethrinus	rubrioperculatus	37351012	12	Yes
FP_201_ASH041.avi	   6502	   3.6158			FP_201_ASH041	CWS, BV	39.5										Lutjanidae	Aprion	virescens	37346027	1	No
